EMP00001SMITH               JOHN           IT 04502500240115                      
EMP00002DOE                 JANE           HR 03803000231210                      
EMP00003JOHNSON             ROBERT         FIN04252750240301                      
EMP00004WILLIAMS            SUSAN          IT 05202800230915                      
EMP00005BROWN               MICHAEL        OPS03902500240101                      
EMP00006DAVIS               JENNIFER       HR 04203200231105                      
EMP00007MILLER              WILLIAM        FIN03502650240220                      
EMP00008WILSON              MARY           OPS03003800230801                      
EMP00009MOORE               PATRICIA       IT 04452850240110                      
EMP00010TAYLOR              RICHARD        FIN05503000231201                      
EMP00011ANDERSON            BARBARA        HR 04002750240205                      
EMP00012THOMAS              CHARLES        OPS04803100230920                      
EMP00013JACKSON             LINDA          IT 03702600240315                      
EMP00014WHITE               DAVID          FIN04403250231115                      
EMP00015HARRIS              ELIZABETH      OPS03202400240102                      
EMP00016MARTIN              JAMES          IT 04902900230810                      
EMP00017THOMPSON            MARIA          FIN03602550240225                      
EMP00018GARCIA              KEVIN          HR 04103000231020                      
EMP00019MARTINEZ            NANCY          OPS04402650240308                      
EMP00020ROBINSON            JOSEPH         FIN05102800230905
