EMP00001SMITH               JOHN           IT 045002500240115
EMP00002DOE                 JANE           HR 038003000231210
EMP00003JOHNSON             ROBERT         FIN042502750240301
EMP00004WILLIAMS            SUSAN          IT 052002800230915
EMP00005BROWN               MICHAEL        OPS039002500240101
EMP00006DAVIS               JENNIFER       HR 042003200231105
EMP00007MILLER              WILLIAM        FIN035002650240220
EMP00008WILSON              MARY           OPS030003800230801
EMP00009MOORE               PATRICIA       IT 044502850240110
EMP00010TAYLOR              RICHARD        FIN055003000231201
EMP00011ANDERSON            BARBARA        HR 040002750240205
EMP00012THOMAS              CHARLES        OPS048003100230920
EMP00013JACKSON             LINDA          IT 037002600240315
EMP00014WHITE               DAVID          FIN044003250231115
EMP00015HARRIS              ELIZABETH      OPS032002400240102
EMP00016MARTIN              JAMES          IT 049002900230810
EMP00017THOMPSON            MARIA          FIN036002550240225
EMP00018GARCIA              KEVIN          HR 041003000231020
EMP00019MARTINEZ            NANCY          OPS044002650240308
EMP00020ROBINSON            JOSEPH         FIN051002800230905
